Product_Name,Price,Rating,Category
"Echo Dot (4th Gen) Smart Speaker","49.99",4.7,"Electronics"
"Kindle Paperwhite (8GB)","139.99",4.8,"Electronics"
"Fire TV Stick 4K","49.99",4.6,"Electronics"
"AmazonBasics Lightning Cable","12.99",4.5,"Accessories"
"Instant Pot Duo (6-Quart)","89.99",4.8,"Kitchen"
"Brita Water Filter Pitcher","34.99",4.6,"Home"
"Fitbit Charge 5","149.99",4.4,"Electronics"
"Samsung 32-inch Monitor","199.99",4.7,"Electronics"
"Logitech MX Master Mouse","99.99",4.8,"Computer Accessories"
"Nintendo Switch","299.99",4.9,"Gaming"
"Sony WH-1000XM4 Headphones","348.00",4.8,"Electronics"
"Crest 3D White Toothpaste","5.99",4.6,"Personal Care"
"Tide Pods (81 Count)","21.99",4.7,"Household"
"Philips Sonicare Toothbrush","69.99",4.5,"Personal Care"
"Anker PowerCore Power Bank","29.99",4.7,"Electronics"
"iRobot Roomba 692","299.99",4.4,"Home"
"Lodge Cast Iron Skillet","24.99",4.8,"Kitchen"
"HP Printer Paper","9.99",4.5,"Office Supplies"
"Apple AirPods Pro","249.99",4.7,"Electronics"
"Ring Video Doorbell","99.99",4.6,"Smart Home"
"Ninja Air Fryer","119.99",4.8,"Kitchen"
"Samsung T7 SSD 1TB","129.99",4.8,"Computer Accessories"
"JBL Flip 5 Speaker","119.99",4.8,"Electronics"
"Waterpik Water Flosser","69.99",4.6,"Personal Care"
"Blue Yeti USB Microphone","129.99",4.7,"Electronics"
"Keurig K-Classic Coffee Maker","79.99",4.5,"Kitchen"
"Compression Packing Cubes","24.99",4.7,"Travel"
"Wyze Smart Bulb","11.99",4.6,"Smart Home"
"DJI Mini 2 Drone","449.99",4.8,"Electronics"
"Casio Digital Watch","18.99",4.5,"Fashion"
"TP-Link WiFi Router","79.99",4.6,"Networking"
"Roku Streaming Stick+","44.99",4.7,"Electronics"
"Wireless Mouse","14.99",4.4,"Computer Accessories"
"Hair Dryer","39.99",4.5,"Personal Care"
"Electric Kettle","29.99",4.6,"Kitchen"
"Portable Charger","19.99",4.5,"Electronics"
"Gaming Headset","59.99",4.6,"Gaming"
"USB Hub","19.99",4.4,"Computer Accessories"
"Smart Scale","29.99",4.5,"Health"
"Bath Towel Set","34.99",4.6,"Home"
"Wireless Keyboard","49.99",4.7,"Computer Accessories"
"Food Storage Containers","29.99",4.7,"Kitchen"
"LED Desk Lamp","24.99",4.6,"Home"
"Protein Powder","29.99",4.6,"Health"
"Yoga Mat","19.99",4.7,"Sports"
"Camera Tripod","24.99",4.5,"Photography"
"Baby Monitor","39.99",4.4,"Baby"
"Coffee Grinder","19.99",4.6,"Kitchen"
"SD Card 128GB","19.99",4.7,"Electronics"
"Running Shoes","79.99",4.5,"Sports"
"Backpack","39.99",4.6,"Fashion"
"Blender","69.99",4.7,"Kitchen"
"Smart Watch","199.99",4.6,"Electronics"
